İl Kodu,Province,Work_Accident_Male,Work_Accident_Female,Occupational_Disease_Male,Occupational_Disease_Female,Fatality_Accident_Male,Fatality_Accident_Female,Fatality_Disease_Male,Fatality_Disease_Female,Year,Total_Work_Accidents,Total_Occupational_Diseases,Total_Fatalities_Accidents,Total_Fatalities_Diseases
1,Adana,11443,2072,5,0,49,1,0,0,2024,13515,5,50,0
2,Adıyaman,2466,197,1,0,19,0,0,0,2024,2663,1,19,0
3,Afyonkarahisar,2272,659,2,0,11,1,0,0,2024,2931,2,12,0
4,Ağrı,224,49,0,0,5,0,0,0,2024,273,0,5,0
5,Amasya,1405,255,0,0,3,0,0,0,2024,1660,0,3,0
6,Ankara,37447,12895,26,2,142,4,0,0,2024,50342,28,146,0
7,Antalya,30679,17092,2,2,69,7,0,0,2024,47771,4,76,0
8,Artvin,340,54,0,0,9,0,0,0,2024,394,0,9,0
9,Aydın,7470,2923,2,0,20,1,0,0,2024,10393,2,21,0
10,Balıkesir,5250,1962,2,1,39,8,0,0,2024,7212,3,47,0
11,Bilecik,3956,1220,15,0,8,0,0,0,2024,5176,15,8,0
12,Bingöl,328,70,0,0,2,0,0,0,2024,398,0,2,0
13,Bitlis,320,115,0,0,0,0,0,0,2024,435,0,0,0
14,Bolu,2987,1619,3,0,7,0,0,0,2024,4606,3,7,0
15,Burdur,828,279,0,0,12,0,0,0,2024,1107,0,12,0
16,Bursa,27236,10185,25,14,85,1,2,0,2024,37421,39,86,2
17,Çanakkale,2754,828,1,0,12,2,0,0,2024,3582,1,14,0
18,Çankırı,1012,224,0,0,4,0,0,0,2024,1236,0,4,0
19,Çorum,2316,602,6,0,8,0,0,0,2024,2918,6,8,0
20,Denizli,7714,2664,3,0,20,2,0,0,2024,10378,3,22,0
21,Diyarbakır,3138,606,1,0,30,0,0,0,2024,3744,1,30,0
22,Edirne,1498,718,0,0,1,0,0,0,2024,2216,0,1,0
23,Elazığ,1404,267,0,0,12,0,0,0,2024,1671,0,12,0
24,Erzincan,495,144,0,0,7,0,0,0,2024,639,0,7,0
25,Erzurum,1833,385,0,0,6,1,0,0,2024,2218,0,7,0
26,Eskişehir,7990,3173,14,2,18,0,0,0,2024,11163,16,18,0
27,Gaziantep,14296,1522,2,0,64,1,0,0,2024,15818,2,65,0
28,Giresun,1080,441,0,0,6,0,0,0,2024,1521,0,6,0
29,Gümüşhane,171,47,0,0,3,0,0,0,2024,218,0,3,0
30,Hakkari,159,10,0,0,2,0,0,0,2024,169,0,2,0
31,Hatay,6360,453,1,0,50,0,0,0,2024,6813,1,50,0
32,Isparta,1074,425,1,0,6,0,0,0,2024,1499,1,6,0
33,Mersin,17396,1620,3,0,58,2,1,0,2024,19016,3,60,1
34,İstanbul,111940,43029,187,88,309,8,0,0,2024,154969,275,317,0
35,İzmir,40607,14094,38,6,106,6,0,0,2024,54701,44,112,0
36,Kars,129,22,0,0,2,0,0,0,2024,151,0,2,0
37,Kastamonu,1464,319,1,0,3,0,0,0,2024,1783,1,3,0
38,Kayseri,14492,2624,5,1,33,2,0,0,2024,17116,6,35,0
39,Kırklareli,2657,937,2,1,13,0,0,0,2024,3594,3,13,0
40,Kırşehir,1494,154,1,0,4,0,0,0,2024,1648,1,4,0
41,Kocaeli,35994,10897,76,43,70,2,0,0,2024,46891,119,72,0
42,Konya,13549,3530,4,0,53,0,0,0,2024,17079,4,53,0
43,Kütahya,4517,1388,17,2,19,0,0,0,2024,5905,19,19,0
44,Malatya,3305,500,1,0,20,0,0,0,2024,3805,1,20,0
45,Manisa,16123,6566,14,2,34,0,0,0,2024,22689,16,34,0
46,Kahramanmaraş,5049,762,0,0,29,1,0,0,2024,5811,0,30,0
47,Mardin,658,68,0,0,16,0,0,0,2024,726,0,16,0
48,Muğla,8552,3556,1,0,28,2,0,0,2024,12108,1,30,0
49,Muş,137,68,0,0,2,0,0,0,2024,205,0,2,0
50,Nevşehir,1138,418,0,0,5,0,0,0,2024,1556,0,5,0
51,Niğde,1270,279,1,0,6,0,0,0,2024,1549,1,6,0
52,Ordu,1908,741,3,0,5,0,0,0,2024,2649,3,5,0
53,Rize,844,195,0,0,1,0,0,0,2024,1039,0,1,0
54,Sakarya,10436,3635,25,6,17,1,0,0,2024,14071,31,18,0
55,Samsun,5552,1559,8,0,16,0,0,0,2024,7111,8,16,0
56,Siirt,350,15,0,0,1,0,0,0,2024,365,0,1,0
57,Sinop,574,157,0,0,6,0,0,0,2024,731,0,6,0
58,Sivas,3529,487,0,1,14,0,0,0,2024,4016,1,14,0
59,Tekirdağ,16473,6282,18,6,38,1,0,0,2024,22755,24,39,0
60,Tokat,1150,467,4,26,10,0,0,0,2024,1617,30,10,0
61,Trabzon,2309,620,1,0,24,0,0,0,2024,2929,1,24,0
62,Tunceli,76,13,0,0,1,0,0,0,2024,89,0,1,0
63,Şanlıurfa,1882,202,1,0,23,0,0,0,2024,2084,1,23,0
64,Uşak,2886,1272,1,0,6,0,0,0,2024,4158,1,6,0
65,Van,981,493,0,0,10,0,0,0,2024,1474,0,10,0
66,Yozgat,1209,330,0,0,7,0,0,0,2024,1539,0,7,0
67,Zonguldak,8827,570,22,0,18,0,0,0,2024,9397,22,18,0
68,Aksaray,2142,279,0,0,11,0,0,0,2024,2421,0,11,0
69,Bayburt,178,66,0,0,3,0,0,0,2024,244,0,3,0
70,Karaman,1893,1018,0,0,3,0,0,0,2024,2911,0,3,0
71,Kırıkkale,1794,277,0,0,2,0,0,0,2024,2071,0,2,0
72,Batman,730,155,0,0,10,0,0,0,2024,885,0,10,0
73,Şırnak,491,17,0,0,18,0,0,0,2024,508,0,18,0
74,Bartın,1699,376,1,0,8,0,0,0,2024,2075,1,8,0
75,Ardahan,57,19,0,0,0,0,0,0,2024,76,0,0,0
76,Iğdır,130,25,1,0,3,0,0,0,2024,155,1,3,0
77,Yalova,11159,533,9,1,12,0,0,0,2024,11692,10,12,0
78,Karabük,2229,239,1,0,4,0,0,0,2024,2468,1,4,0
79,Kilis,543,89,0,0,2,0,0,0,2024,632,0,2,0
80,Osmaniye,2231,307,0,1,18,0,0,0,2024,2538,1,18,0
81,Düzce,4252,1292,6,3,13,0,0,0,2024,5544,9,13,0
1,Adana,10313,1618,3,0,44,1,0,0,2023,11931,3,45,0
2,Adıyaman,1056,153,0,0,10,1,0,0,2023,1209,0,11,0
3,Afyonkarahisar,1928,483,0,0,10,0,0,0,2023,2411,0,10,0
4,Ağrı,201,43,0,0,2,0,0,0,2023,244,0,2,0
5,Amasya,1483,215,0,0,9,0,0,0,2023,1698,0,9,0
6,Ankara,35980,10805,20,3,145,3,0,0,2023,46785,23,148,0
7,Antalya,27456,14224,2,0,77,4,0,0,2023,41680,2,81,0
8,Artvin,349,58,1,0,5,0,0,0,2023,407,1,5,0
9,Aydın,6970,2312,1,0,29,0,0,0,2023,9282,1,29,0
10,Balıkesir,5015,1562,2,1,33,2,0,0,2023,6577,3,35,0
11,Bilecik,4201,1164,4,0,11,0,0,0,2023,5365,4,11,0
12,Bingöl,315,58,0,0,2,0,0,0,2023,373,0,2,0
13,Bitlis,305,90,0,0,1,0,0,0,2023,395,0,1,0
14,Bolu,3060,1581,3,0,7,3,0,0,2023,4641,3,10,0
